dataset_id,relationships
D2025051500161503000025345014,"ant_icube_dev_stock_exchange_index_data 与 ant_icube_dev_stock_exchange_index_info 是多对一的关系，ant_icube_dev_stock_exchange_index_data 的关联字段为[index], ant_icube_dev_stock_exchange_index_info 的关联字段为 [index] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025050900161503000025235209,"ant_icube_dev_bakery_sales_sale 与 ant_icube_dev_bakery_sales_price 是多对一的关系，ant_icube_dev_bakery_sales_sale 的关联字段为[product_name], ant_icube_dev_bakery_sales_price 的关联字段为 [name] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025050900161503000025254837,"ant_icube_dev_google_merchandise_events 与 ant_icube_dev_google_merchandise_users 是多对一的关系，ant_icube_dev_google_merchandise_events 的关联字段为[user_id], ant_icube_dev_google_merchandise_users 的关联字段为 [id] | ant_icube_dev_google_merchandise_events 与 ant_icube_dev_google_merchandise_items 是多对一的关系，ant_icube_dev_google_merchandise_events 的关联字段为[item_id], ant_icube_dev_google_merchandise_items 的关联字段为 [id] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025050900161503000025255333,"ant_icube_dev_walmart_sales 与 ant_icube_dev_walmart_stores 是多对一的关系，ant_icube_dev_walmart_sales 的关联字段为[store], ant_icube_dev_walmart_stores 的关联字段为 [store] | ant_icube_dev_walmart_features 与 ant_icube_dev_walmart_stores 是多对一的关系，ant_icube_dev_walmart_features 的关联字段为[store], ant_icube_dev_walmart_stores 的关联字段为 [store] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025050900161503000025255013,"ant_icube_dev_mexico_toy_inventory 与 ant_icube_dev_mexico_toy_stores 是多对一的关系，ant_icube_dev_mexico_toy_inventory 的关联字段为[store_id], ant_icube_dev_mexico_toy_stores 的关联字段为 [store_id] | ant_icube_dev_mexico_toy_sales 与 ant_icube_dev_mexico_toy_stores 是多对一的关系，ant_icube_dev_mexico_toy_sales 的关联字段为[store_id], ant_icube_dev_mexico_toy_stores 的关联字段为 [store_id] | ant_icube_dev_mexico_toy_sales 与 ant_icube_dev_mexico_toy_products 是多对一的关系，ant_icube_dev_mexico_toy_sales 的关联字段为[product_id], ant_icube_dev_mexico_toy_products 的关联字段为 [product_id] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025050900161503000025254500,"ant_icube_dev_credit_card_card_base 与 ant_icube_dev_credit_card_customer_base 是多对一的关系，ant_icube_dev_credit_card_card_base 的关联字段为[cust_id], ant_icube_dev_credit_card_customer_base 的关联字段为 [cust_id] | ant_icube_dev_credit_card_transaction_base 与 ant_icube_dev_credit_card_card_base 是多对一的关系，ant_icube_dev_credit_card_transaction_base 的关联字段为[credit_card_id], ant_icube_dev_credit_card_card_base 的关联字段为 [card_number] | ant_icube_dev_credit_card_transaction_base 与 ant_icube_dev_credit_card_fraud_base 是一对一的关系，ant_icube_dev_credit_card_transaction_base 的关联字段为[transaction_id], ant_icube_dev_credit_card_fraud_base 的关联字段为 [transaction_id] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025050900161503000025247777,"ant_icube_dev_school_marks 与 ant_icube_dev_school_subject 是多对一的关系，ant_icube_dev_school_marks 的关联字段为[subjectid], ant_icube_dev_school_subject 的关联字段为 [subjectid] | ant_icube_dev_school_marks 与 ant_icube_dev_school_teachers 是多对一的关系，ant_icube_dev_school_marks 的关联字段为[teacherid], ant_icube_dev_school_teachers 的关联字段为 [teacherid] | ant_icube_dev_school_marks 与 ant_icube_dev_school_students 是多对一的关系，ant_icube_dev_school_marks 的关联字段为[studentid], ant_icube_dev_school_students 的关联字段为 [studentid] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025050900161503000025236921,"ant_icube_dev_ecommerce_order_order_items 与 ant_icube_dev_ecommerce_order_products 是多对一的关系，ant_icube_dev_ecommerce_order_order_items 的关联字段为[product_id], ant_icube_dev_ecommerce_order_products 的关联字段为 [product_id] | ant_icube_dev_ecommerce_order_orders 与 ant_icube_dev_ecommerce_order_customers 是多对一的关系，ant_icube_dev_ecommerce_order_orders 的关联字段为[customer_id], ant_icube_dev_ecommerce_order_customers 的关联字段为 [customer_id] | ant_icube_dev_ecommerce_order_order_items 与 ant_icube_dev_ecommerce_order_orders 是多对一的关系，ant_icube_dev_ecommerce_order_order_items 的关联字段为[order_id], ant_icube_dev_ecommerce_order_orders 的关联字段为 [order_id] | ant_icube_dev_ecommerce_order_payments 与 ant_icube_dev_ecommerce_order_orders 是多对一的关系，ant_icube_dev_ecommerce_order_payments 的关联字段为[order_id], ant_icube_dev_ecommerce_order_orders 的关联字段为 [order_id] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025051200161503000025280880,"ant_icube_dev_world_economic_richest_countries 与 ant_icube_dev_world_economic_tourism 是一对一的关系，ant_icube_dev_world_economic_richest_countries 的关联字段为[country], ant_icube_dev_world_economic_tourism 的关联字段为 [country] | ant_icube_dev_world_economic_richest_countries 与 ant_icube_dev_world_economic_unemployment 是一对一的关系，ant_icube_dev_world_economic_richest_countries 的关联字段为[country], ant_icube_dev_world_economic_unemployment 的关联字段为 [country] | ant_icube_dev_world_economic_tourism 与 ant_icube_dev_world_economic_cost_of_living 是一对一的关系，ant_icube_dev_world_economic_tourism 的关联字段为[country], ant_icube_dev_world_economic_cost_of_living 的关联字段为 [country] | ant_icube_dev_world_economic_unemployment 与 ant_icube_dev_world_economic_corruption 是一对一的关系，ant_icube_dev_world_economic_unemployment 的关联字段为[country], ant_icube_dev_world_economic_corruption 的关联字段为 [country] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025060500161503000025843473,"alcohol_and_life_expectancy_verbose 与 alcohol_and_life_expectancy_drinks 是一对一的关系，alcohol_and_life_expectancy_verbose 的关联字段为[countrydisplay], alcohol_and_life_expectancy_drinks 的关联字段为 [country] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025060500161503000025835207,"rides 与 drivers 是多对一的关系，rides 的关联字段为[driver_id], drivers 的关联字段为 [driver_id] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025060300161503000025782502,"订单表 与 商品表 是多对一的关系，订单表 的关联字段为[productid], 商品表 的关联字段为 [productid] | 订单表 与 用户表 是多对一的关系，订单表 的关联字段为[customerid], 用户表 的关联字段为 [customerid] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025060400161503000025818558,"ant_icube_dev_ufc_events_stats 与 ant_icube_dev_ufc_country_data 是多对一的关系，ant_icube_dev_ufc_events_stats 的关联字段为[country], ant_icube_dev_ufc_country_data 的关联字段为 [country] | ant_icube_dev_ufc_events_stats 与 ant_icube_dev_ufc_fighters_stats 是多对一的关系，ant_icube_dev_ufc_events_stats 的关联字段为[fighter_1], ant_icube_dev_ufc_fighters_stats 的关联字段为 [last_name] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025060300161503000025786454,"ant_icube_dev_di_ben10_alien_universe_realistic_battle_dataset_battles 与 ant_icube_dev_di_ben10_alien_universe_realistic_battle_dataset_aliens 是多对一的关系，ant_icube_dev_di_ben10_alien_universe_realistic_battle_dataset_battles 的关联字段为[alien_name], ant_icube_dev_di_ben10_alien_universe_realistic_battle_dataset_aliens 的关联字段为 [alien_name] | ant_icube_dev_di_ben10_alien_universe_realistic_battle_dataset_enemies 与 ant_icube_dev_di_ben10_alien_universe_realistic_battle_dataset_aliens 是多对一的关系，ant_icube_dev_di_ben10_alien_universe_realistic_battle_dataset_enemies 的关联字段为[alien_name], ant_icube_dev_di_ben10_alien_universe_realistic_battle_dataset_aliens 的关联字段为 [alien_name] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
